,timestamp,force_z,vibration_x,vibration_y,tool_wear,experiment_tag,dataset_tag
0,0.0033,150.73,4.057,4.2318,0.11758601210738653,W1,nuaa
1,0.49829999999999997,93.306,1.2748,1.5125,0.11763394044125795,W1,nuaa
2,0.9933,93.306,10.066,10.331,0.11768186042737655,W1,nuaa
3,1.4883,64.597,0.8694,1.1225,0.11772977201334849,W1,nuaa
4,1.9833,337.34,-8.9383,-8.8741,0.11777767514552724,W1,nuaa
5,2.4783,236.85,5.3761,5.8420000000000005,0.11782556976902266,W1,nuaa
6,2.9732999999999996,122.02,7.1534,7.6513,0.11787345582772707,W1,nuaa
7,3.4682999999999997,50.242,-1.0499,-0.6959,0.11792133326432683,W1,nuaa
8,3.9633,78.95100000000002,6.5243,6.9401,0.1179692020203224,W1,nuaa
9,4.4583,122.02,-6.7428,-6.7389,0.1180170620360433,W1,nuaa
10,4.9533000000000005,107.66,2.2071,2.7533,0.11806491325066769,W1,nuaa
11,5.4483,696.21,-1.695,-1.6385,0.11811275560223937,W1,nuaa
12,5.943299999999999,495.24,-2.1686,-2.1454,0.11816058902768753,W1,nuaa
13,6.438299999999999,93.306,3.6882,3.8025,0.1182084134628415,W1,nuaa
14,6.933299999999999,337.34,5.6132,6.1677,0.11825622884245081,W1,nuaa
15,7.428299999999999,236.85,0.4973,0.7723,0.1183040351002034,W1,nuaa
16,7.923299999999999,179.43,5.1127,5.5541,0.11835183216874237,W1,nuaa
17,8.418299999999999,308.63,4.3898,4.6963,0.11839961997968736,W1,nuaa
18,8.9133,78.95100000000002,1.5447,1.945,0.11844739846365031,W1,nuaa
19,9.408299999999999,78.95100000000002,-2.4506,-2.1448,0.11849516755025394,W1,nuaa
20,9.9033,208.14,-1.375,-0.9265,0.11854292716815355,W1,nuaa
21,10.398299999999999,93.306,1.1084,1.6308,0.118590677245053,W1,nuaa
22,10.8933,466.53,5.0992,5.5978,0.11863841770772374,W1,nuaa
23,11.3883,351.69,-0.1349,0.1767,0.11868614848202594,W1,nuaa
24,11.883299999999998,150.73,3.9606,4.2542,0.11873386949292526,W1,nuaa
25,12.3783,208.14,-5.6216,-5.4249,0.11878158066451265,W1,nuaa
26,12.873299999999999,294.27,9.1722,9.7647,0.11882928192002457,W1,nuaa
27,13.3683,136.37,-1.2253,-1.1598,0.11887697318186168,W1,nuaa
28,13.863299999999999,179.43,-0.4395,-0.3489,0.11892465437160896,W1,nuaa
29,14.3583,136.37,4.3474,4.9829,0.11897232541005238,W1,nuaa
30,14.853299999999999,351.69,-2.5888,-2.4564,0.11901998621720367,W1,nuaa
31,15.3483,107.66,-1.2639,-1.091,0.11906763671231504,W1,nuaa
32,15.8433,251.21,-4.9135,-4.7529,0.11911527681390131,W1,nuaa
33,16.3383,351.69,-5.0812,-4.8075,0.11916290643975938,W1,nuaa
34,16.833299999999998,495.24,-4.1656,-3.967,0.11921052550698817,W1,nuaa
35,17.3283,337.34,3.7062,4.2234,0.11925813393201046,W1,nuaa
36,17.8233,236.85,3.7845,4.4046,0.11930573163058718,W1,nuaa
37,18.3183,236.85,0.1902,0.4793,0.11935331851784521,W1,nuaa
38,18.813299999999998,251.21,4.3249,4.8145,0.11940089450829075,W1,nuaa
39,19.3083,222.5,4.4901,4.697,0.11944845951583438,W1,nuaa
40,19.8033,150.73,-0.1375,0.2332,0.11949601345380988,W1,nuaa
41,20.298299999999998,107.66,-1.2825,-1.2369,0.11954355623499227,W1,nuaa
42,20.7933,480.89,1.6031,2.0580000000000003,0.11959108777162074,W1,nuaa
43,21.2883,165.08,-1.8518,-1.5151,0.11963860797541905,W1,nuaa
44,21.7833,337.34,3.7036,4.1296,0.11968611675761544,W1,nuaa
45,22.278299999999998,265.56,-0.9542,-0.7987,0.1197336140289625,W1,nuaa
46,22.7733,222.5,-0.8385,-0.5995,0.11978109969975995,W1,nuaa
47,23.2683,-93.306,4.3121,4.7618,0.11982857367987187,W1,nuaa
48,23.7633,-21.532,9.2172,9.7557,0.11987603587875036,W1,nuaa
49,24.2583,351.69,5.6453,6.0681,0.11992348620545476,W1,nuaa
50,24.7533,409.11,-2.1474,-2.0927,0.1199709245686734,W1,nuaa
51,25.2483,351.69,7.138,7.5241,0.1200183508767435,W1,nuaa
52,25.743299999999998,437.82,-0.1304,0.1214,0.12006576503767206,W1,nuaa
53,26.2383,64.597,9.3059,9.8694,0.1201131669591579,W1,nuaa
54,26.7333,251.21,-6.4774,-6.2834,0.12016055654860998,W1,nuaa
55,27.2283,208.14,5.229,5.7803,0.12020793371317118,W1,nuaa
56,27.7233,-50.242,-2.2386,-2.2637,0.12025529835973885,W1,nuaa
57,28.2183,337.34,3.7537,4.1264,0.12030265039498254,W1,nuaa
58,28.7133,-93.306,4.8364,5.0915,0.12034998972536842,W1,nuaa
59,29.208299999999998,351.69,3.0617,3.3688,0.12039731625718073,W1,nuaa
60,29.7033,107.66,5.2521,5.8561,0.12044462989653941,W1,nuaa
61,30.1983,466.53,-0.4838,-0.2506,0.12049193054942316,W1,nuaa
62,30.6933,193.79,3.3457,3.7826,0.12053921812169212,W1,nuaa
63,31.188299999999998,437.82,-1.7181,-1.6905,0.12058649251910396,W1,nuaa
64,31.6833,-107.66,3.1651,3.2692,0.12063375364734127,W1,nuaa
65,32.1783,466.53,6.5006,7.0139,0.12068100141202723,W1,nuaa
66,32.6733,-21.532,7.0679,7.7034,0.12072823571875062,W1,nuaa
67,33.168299999999995,509.6,2.9698,3.4549,0.12077545647308487,W1,nuaa
68,33.66329999999999,480.89,1.5504,1.8666,0.12082266358060786,W1,nuaa
69,34.1583,437.82,10.03,10.598,0.12086985694692683,W1,nuaa
70,34.653299999999994,495.24,11.574000000000002,12.225,0.12091703647769529,W1,nuaa
71,35.1483,294.27,-0.9837,-0.6284,0.12096420207863821,W1,nuaa
72,35.643299999999996,-50.242,-0.7531,-0.453,0.12101135365556875,W1,nuaa
73,36.138299999999994,93.306,-2.3883,-2.4179,0.12105849111441314,W1,nuaa
74,36.6333,409.11,-4.3159,-3.9188,0.12110561436122948,W1,nuaa
75,37.128299999999996,380.4,3.7762,3.9837,0.12115272330222934,W1,nuaa
76,37.62329999999999,653.14,2.2437,2.5734,0.12119981784379912,W1,nuaa
77,38.1183,437.82,3.7768,4.1328,0.12124689789251944,W1,nuaa
78,38.613299999999995,208.14,3.9561,4.5466,0.12129396335519088,W1,nuaa
79,39.10829999999999,294.27,4.9193,5.299,0.12134101413884786,W1,nuaa
80,39.6033,452.18,5.4629,6.0501,0.121388050150785,W1,nuaa
81,40.098299999999995,337.34,6.3978,7.0416,0.12143507129857695,W1,nuaa
82,40.59329999999999,222.5,-2.2778,-2.2874,0.12148207749009696,W1,nuaa
83,41.0883,409.11,5.7321,6.3939,0.12152906863354246,W1,nuaa
84,41.583299999999994,466.53,7.057,7.5935,0.12157604463744966,W1,nuaa
85,42.0783,595.72,3.9683,4.3731,0.12162300541072085,W1,nuaa
